;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;24;Jan;00:30;USA;NBA;2018/2019;Brooklyn Nets;Orlando Magic;BKN;ORL;26;25;H;O;;;114;110;H;O;4;224;1,37;3,04;1,39;3,29;1,45;2,8
2019;24;Jan;00:30;USA;NBA;2018/2019;Miami Heat;Los Angeles Clippers;MIA;LAC;31;27;H;O;;;99;111;A;O;12;210;1,43;2,8;1,45;2,99;1,52;2,67
2019;24;Jan;00:30;USA;NBA;2018/2019;New York Knicks;Houston Rockets;NYK;HOU;31;28;H;O;;;110;114;A;O;4;224;3,18;1,28;3,41;1,37;3,4;1,33
2019;24;Jan;00:00;USA;NBA;2018/2019;Indiana Pacers;Toronto Raptors;IND;TOR;24;16;H;U;;;110;106;H;O;4;216;1,56;2,24;1,5;2,8;1,71;2,2
2019;23;Jan;02:00;USA;NBA;2018/2019;Phoenix Suns;Minnesota Timberwolves;PHX;MIN;27;32;A;O;;;91;118;A;O;27;209;2,7;1,39;3,01;1,44;3;1,41
2019;23;Jan;01:30;USA;NBA;2018/2019;Dallas Mavericks;Los Angeles Clippers;DAL;LAC;26;29;A;O;;;106;98;H;O;8;204;1,56;2,3;1,63;2,44;1,55;2,6
2019;23;Jan;01:00;USA;NBA;2018/2019;Oklahoma City Thunder;Portland Trail Blazers;OKC;POR;25;25;D;U;;;123;114;H;O;9;237;1,38;2,69;1,48;2,86;1,45;2,8
2019;23;Jan;00:00;USA;NBA;2018/2019;Toronto Raptors;Sacramento Kings;TOR;SAC;29;34;A;O;;;120;105;H;O;15;225;1,14;5;1,18;5,61;1,16;5,5
2019;22;Jan;03:30;USA;NBA;2018/2019;Los Angeles Lakers;Golden State Warriors;LAL;GSW;24;29;A;O;;;111;130;A;O;19;241;4,85;1,13;5,98;1,17;5,75;1,15
2019;22;Jan;02:00;USA;NBA;2018/2019;Utah Jazz;Portland Trail Blazers;UTA;POR;28;29;A;O;;;104;109;A;O;5;213;1,45;2,52;1,49;2,84;1,47;2,75
